Accn	Pfam	Pfam_desc	CDD	CDD_desc	InterPro	InterPro_desc	GO	KEGG	EC	TIGRFAM	TIGRFAM_desc	HAMAP	HAMAP_desc	CAZy
NODE_1050_length_868_cov_1.04551_1_771_+	PF00290	Tryptophan synthase alpha chain			IPR002028	Tryptophan synthase, alpha chain	GO:0004834;GO:0006568	ko00260;ko00400	4.2.1.20	TIGR00262	trpA: tryptophan synthase, alpha subunit	MF_00131	Tryptophan synthase alpha chain [trpA].	
NODE_1051_length_865_cov_1.51523_1_460_-	PF04008	Adenosine specific kinase			IPR007153	Adenosine specific kinase								
NODE_1051_length_865_cov_1.51523_596_865_+	PF01381	Helix-turn-helix			IPR001387	Cro/C1-type helix-turn-helix domain								
NODE_1052_length_862_cov_1.07516_1_862_-	PF01136	Peptidase family U32			IPR001539	Peptidase U32	GO:0006508;GO:0008233							
NODE_1053_length_858_cov_1.23816_133_858_-	PF00867	XPG I-region			IPR023426;IPR006086	Flap endonuclease 1;XPG-I domain	GO:0016788;GO:0004518					MF_00614	Flap endonuclease 1 [fen].	
NODE_1054_length_856_cov_65.8716_1_856_+	PF01182;PF02634	Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase;FdhD/NarQ family			IPR006148;IPR003786;IPR004547	Glucosamine/galactosamine-6-phosphate isomerase;Sulfur carrier protein FdhD;Glucosamine-6-phosphate isomerase	GO:0005975;GO:0006044;GO:0016783;GO:0004342	ko00520	3.5.99.6	TIGR00502	nagB: glucosamine-6-phosphate deaminase			
NODE_1055_length_855_cov_27.4679_1_855_-	PF01546;PF07687	Peptidase family M20/M25/M40;Peptidase dimerisation domain			IPR002933;IPR011650;IPR010161	Peptidase M20;Peptidase M20, dimerisation domain;Peptidase M20B, tripeptide aminopeptidase	GO:0016787;GO:0045148;GO:0006518;GO:0008270			TIGR01882	peptidase-T: peptidase T			
NODE_1056_length_854_cov_1.97683_1_271_-	PF02553	Cobalt transport protein component CbiN			IPR003705	Cobalt transport protein CbiN	GO:0016020;GO:0015087;GO:0006824;GO:0009236			TIGR01165	cbiN: cobalt transport protein	MF_00330	Cobalt transport protein CbiN [cbiN].	
NODE_1056_length_854_cov_1.97683_275_854_-	PF01891	Cobalt uptake substrate-specific transmembrane region			IPR018024;IPR002751	Cobalamin (vitamin B12) transport protein CbiM;Metal transport protein CbiM/NikMN	GO:0043190;GO:0016021;GO:0000041;GO:0006824;GO:0009236			TIGR00123	cbiM: cobalamin biosynthesis protein CbiM	MF_01462	Cobalt transport protein CbiM [cbiM].	
NODE_1057_length_848_cov_4.37484_1_848_-	PF01555	DNA methylase			IPR002941	DNA methylase N-4/N-6	GO:0003677;GO:0006306;GO:0008170							
NODE_1058_length_847_cov_59.6442_1_847_-	PF00005	ABC transporter			IPR003439	ABC transporter-like	GO:0005524;GO:0016887							
NODE_105_length_19900_cov_1343.75_13018_14079_-	PF00561	alpha/beta hydrolase fold			IPR000073	Alpha/beta hydrolase fold-1								
NODE_105_length_19900_cov_1343.75_14788_16194_-	PF07690	Major Facilitator Superfamily			IPR011701	Major facilitator superfamily	GO:0005887;GO:0055085							
NODE_105_length_19900_cov_1343.75_16284_17915_-	PF00171	Aldehyde dehydrogenase family			IPR015590;IPR005931	Aldehyde dehydrogenase domain;Delta-1-pyrroline-5-carboxylate dehydrogenase	GO:0016491;GO:0010133;GO:0055114;GO:0003842	ko00250;ko00330	1.2.1.88	TIGR01236	D1pyr5carbox1: 1-pyrroline-5-carboxylate dehydrogenase			
NODE_105_length_19900_cov_1343.75_18298_18540_+	PF00364	Biotin-requiring enzyme			IPR000089	Biotin/lipoyl attachment								
NODE_105_length_19900_cov_1343.75_18596_19585_+	PF00676	Dehydrogenase E1 component			IPR001017	Dehydrogenase, E1 component	GO:0016624							
NODE_105_length_19900_cov_1343.75_19599_19900_+	PF02779	Transketolase, pyrimidine binding domain			IPR005475	Transketolase-like, pyrimidine-binding domain								
NODE_105_length_19900_cov_1343.75_1_365_+	PF00005	ABC transporter			IPR003439	ABC transporter-like	GO:0005524;GO:0016887							
NODE_105_length_19900_cov_1343.75_2534_3706_-	PF00108;PF02803	Thiolase, N-terminal domain;Thiolase, C-terminal domain			IPR020616;IPR020617;IPR002155	Thiolase, N-terminal;Thiolase, C-terminal;Thiolase	GO:0016747			TIGR01930	AcCoA-C-Actrans: acetyl-CoA C-acyltransferase			
NODE_105_length_19900_cov_1343.75_3725_9486_-	PF00005;PF02653;PF12399;PF13336;PF00440;PF02550	ABC transporter;Branched-chain amino acid transport system / permease component;Branched-chain amino acid ATP-binding cassette transporter;Acetyl-CoA hydrolase/transferase C-terminal domain;Bacterial regulatory proteins, tetR family;Acetyl-CoA hydrolase/transferase N-terminal domain			IPR003439;IPR001851;IPR032823;IPR026888;IPR001647;IPR003702	ABC transporter-like;ABC transporter, permease;Branched-chain amino acid ATP-binding cassette transporter, C-terminal;Acetyl-CoA hydrolase/transferase C-terminal domain;DNA-binding HTH domain, TetR-type;Acetyl-CoA hydrolase/transferase	GO:0005524;GO:0019679;GO:0003986;GO:0006083;GO:0008775;GO:0016020;GO:0022857;GO:0055085;GO:0016887;GO:0003677							
NODE_105_length_19900_cov_1343.75_420_2306_-	PF01314;PF02730	Aldehyde ferredoxin oxidoreductase, domains 2 & 3;Aldehyde ferredoxin oxidoreductase, N-terminal domain			IPR001203;IPR013983	Aldehyde ferredoxin oxidoreductase, C-terminal;Aldehyde ferredoxin oxidoreductase, N-terminal	GO:0051536;GO:0016491;GO:0016625;GO:0055114;GO:0009055							
NODE_105_length_19900_cov_1343.75_9588_12997_-	PF07833;PF13458;PF13561;PF08541;PF08545	Copper amine oxidase N-terminal domain;Periplasmic binding protein;Enoyl-(Acyl carrier protein) reductase;3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal;3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III			IPR012854;IPR028081;IPR011284;IPR013747;IPR013751	Copper amine oxidase-like, N-terminal;Leucine-binding protein domain;3-oxoacyl-(acyl-carrier-protein) reductase;3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III, C-terminal;3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III	GO:0004315;GO:0004316;GO:0051287;GO:0006633;GO:0055114	ko00061;ko00780	2.3.1.180;1.1.1.100	TIGR01830	3oxo_ACP_reduc: 3-oxoacyl-[acyl-carrier-protein] reductase			
NODE_1060_length_846_cov_2.17165_1_634_-	PF00171	Aldehyde dehydrogenase family			IPR015590	Aldehyde dehydrogenase domain	GO:0016491;GO:0055114							
NODE_1060_length_846_cov_2.17165_651_846_-	PF04021	Class III signal peptide			IPR007166	Class III signal peptide motif								
NODE_1061_length_846_cov_1501.89_303_464_-	PF08706	D5 N terminal like			IPR014818	Bacteriophage/plasmid primase, P4, C-terminal								
NODE_1061_length_846_cov_1501.89_528_846_-	PF08708	Primase C terminal 1 (PriCT-1)			IPR014820	Primase, C-terminal 1								
NODE_1062_length_839_cov_1.31627_1_839_+	PF00271	Helicase conserved C-terminal domain			IPR001650	Helicase, C-terminal								
NODE_1063_length_838_cov_1.51905_42_752_+	PF09930	Predicted transporter (DUF2162)			IPR017199	Uncharacterised conserved protein UCP037409, membrane transporter, MTH672								
NODE_1065_length_836_cov_1560.34_1_836_-	PF00041	Fibronectin type III domain			IPR003961	Fibronectin type III	GO:0005515							
NODE_1066_length_835_cov_1.8905_362_835_+	PF01645	Conserved region in glutamate synthase			IPR002932	Glutamate synthase domain	GO:0055114;GO:0016638;GO:0006537;GO:0015930							
NODE_1067_length_834_cov_1.679_1_425_+	PF01259	SAICAR synthetase			IPR028923	SAICAR synthetase/ADE2, N-terminal		ko00230	6.3.2.6					
NODE_1067_length_834_cov_1.679_435_689_+	PF02700	Phosphoribosylformylglycinamidine (FGAM) synthase			IPR003850	Phosphoribosylformylglycinamidine synthase subunit PurS		ko00230	6.3.5.3	TIGR00302	TIGR00302: phosphoribosylformylglycinamidine synthase, purS protein	MF_01926	Phosphoribosylformylglycinamidine synthase subunit PurS [purS].	
NODE_1067_length_834_cov_1.679_693_834_+	PF13507	CobB/CobQ-like glutamine amidotransferase domain												
NODE_1069_length_833_cov_1.73545_1_833_+	PF00682;PF08502	HMGL-like;LeuA allosteric (dimerisation) domain			IPR000891;IPR013709	Pyruvate carboxyltransferase;2-isopropylmalate synthase LeuA, allosteric (dimerisation) domain	GO:0003824;GO:0003852;GO:0009098	ko00290;ko00620	2.3.3.13					
NODE_106_length_19893_cov_41.0221_1001_1927_-	PF00589;PF02899	Phage integrase family;Phage integrase, N-terminal SAM-like domain			IPR002104;IPR004107	Integrase, catalytic domain;Integrase, SAM-like, N-terminal	GO:0003677;GO:0006310;GO:0015074							
NODE_106_length_19893_cov_41.0221_10522_12750_+	PF03288;PF09250;PF08706;PF08708	Poxvirus D5 protein-like;Bifunctional DNA primase/polymerase, N-terminal;D5 N terminal like;Primase C terminal 1 (PriCT-1)			IPR004968;IPR015330;IPR006500;IPR014818;IPR014820	DNA primase/nucleoside triphosphatase, C-terminal;DNA primase/polymerase, bifunctional, N-terminal;DNA primase, phage/plasmid;Bacteriophage/plasmid primase, P4, C-terminal;Primase, C-terminal 1				TIGR01613	primase_Cterm: phage/plasmid primase, P4 family, C-terminal domain			
NODE_106_length_19893_cov_41.0221_12938_14561_+	PF03496	ADP-ribosyltransferase exoenzyme			IPR003540	ADP ribosyltransferase	GO:0005576;GO:0009405							
NODE_106_length_19893_cov_41.0221_15694_15867_+	PF01402	Ribbon-helix-helix protein, copG family			IPR002145	Ribbon-helix-helix protein, CopG	GO:0006355							
NODE_106_length_19893_cov_41.0221_15882_17547_+	PF02195;PF13614;PF17762	ParB-like nuclease domain;AAA domain;HTH domain found in ParB protein			IPR003115;IPR004437;IPR025669;IPR041468	ParB/Sulfiredoxin;ParB/RepB/Spo0J partition protein;AAA domain;ParB/Spo0J, HTH domain	GO:0003677			TIGR00180	parB_part: ParB/RepB/Spo0J family partition protein			
NODE_106_length_19893_cov_41.0221_17869_19413_+	PF01051	Initiator Replication protein			IPR000525	Initiator Rep protein	GO:0003887;GO:0006270							
NODE_106_length_19893_cov_41.0221_2180_7514_+	PF01555;PF04851	DNA methylase;Type III restriction enzyme, res subunit			IPR002941;IPR006935	DNA methylase N-4/N-6;Helicase/UvrB, N-terminal	GO:0003677;GO:0005524;GO:0016787;GO:0006306;GO:0008170							
NODE_106_length_19893_cov_41.0221_281_842_+	PF15781	ParE-like toxin of type II bacterial toxin-antitoxin system			IPR031552;IPR007159	Type II bacterial toxin-antitoxin system, ParE-like toxin;SpoVT-AbrB domain	GO:0003677			TIGR01439	lp_hng_hel_AbrB: transcriptional regulator, AbrB family			
NODE_106_length_19893_cov_41.0221_7554_8177_+	PF09851;PF14472	Short C-terminal domain;Domain of unknown function (DUF4429)			IPR018649;IPR027860	SHOCT domain;Domain of unknown function DUF4429								
NODE_106_length_19893_cov_41.0221_8196_10397_-	PF00589;PF02899	Phage integrase family;Phage integrase, N-terminal SAM-like domain			IPR002104;IPR004107	Integrase, catalytic domain;Integrase, SAM-like, N-terminal	GO:0003677;GO:0006310;GO:0015074							
NODE_1070_length_832_cov_1.03974_1_832_-	PF02514	CobN/Magnesium Chelatase			IPR003672	CobN/magnesium chelatase	GO:0009058							
NODE_1071_length_828_cov_1.57656_146_828_-	PF01645	Conserved region in glutamate synthase			IPR002932	Glutamate synthase domain	GO:0055114;GO:0016638;GO:0006537;GO:0015930							
NODE_1072_length_827_cov_1.39333_1_605_+	PF01934	Protein of unknown function DUF86			IPR008201	Protein of unknown function DUF86								
NODE_1073_length_827_cov_1.608_1_349_-	PF00440	Bacterial regulatory proteins, tetR family			IPR001647	DNA-binding HTH domain, TetR-type	GO:0003677							
NODE_1073_length_827_cov_1.608_374_827_+	PF04208	Tetrahydromethanopterin S-methyltransferase, subunit A			IPR030688	Methyltransferase MtrA/MtxA		ko00680	2.1.1.86					
NODE_1074_length_827_cov_1.48267_1_571_-	PF01137	RNA 3'-terminal phosphate cyclase			IPR023797	RNA 3'-terminal phosphate cyclase domain								
NODE_1075_length_822_cov_83.7221_1_822_-	PF03176	MMPL family			IPR004869	Membrane transport protein MMPL domain	GO:0016020							
NODE_1076_length_818_cov_1.51687_1_818_-	PF07568	Histidine kinase			IPR011495	Signal transduction histidine kinase, subgroup 2, dimerisation and phosphoacceptor domain								
NODE_1077_length_815_cov_1672.93_173_815_-	PF14137;PF15650	Domain of unknown function (DUF4304);Restriction endonuclease fold toxin 9			IPR025412;IPR028902	Protein of unknown function DUF4304;Tox-REase-9 domain								
NODE_1078_length_812_cov_45.7918_1_812_+	PF02645	Uncharacterised protein, DegV family COG1307			IPR003797	DegV				TIGR00762	DegV: EDD domain protein, DegV family			
NODE_107_length_19728_cov_1448.47_11584_11860_+	PF02542	YgbB family			IPR003526	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	GO:0008685;GO:0016114	ko00900	4.6.1.12					
NODE_107_length_19728_cov_1448.47_11869_15726_-	PF02518;PF02743	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase;Cache domain			IPR003594;IPR033479	Histidine kinase/HSP90-like ATPase;Double Cache domain 1								
NODE_107_length_19728_cov_1448.47_1543_3452_+	PF01695	IstB-like ATP binding protein			IPR002611	IstB-like ATP-binding protein	GO:0005524							
NODE_107_length_19728_cov_1448.47_15919_18695_-	PF00005;PF01128;PF12679	ABC transporter;2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase;ABC-2 family transporter protein			IPR001228;IPR032688;IPR003439;IPR034683	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase;ABC-2 family transporter protein;ABC transporter-like;Cytidylyltransferase IspD/TarI	GO:0008299;GO:0016887;GO:0070567;GO:0055085;GO:0050518;GO:0005524	ko00900	2.7.7.60	TIGR00453	ispD: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	MF_00108	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [ispD].	
NODE_107_length_19728_cov_1448.47_18918_19394_-	PF02559	CarD-like/TRCF domain			IPR003711	CarD-like/TRCF domain								
NODE_107_length_19728_cov_1448.47_4524_6211_+	PF00404;PF00544;PF03422	Dockerin type I domain;Pectate lyase;Carbohydrate binding module (family 6)			IPR002105;IPR002022;IPR005084	Dockerin type I repeat;Pectate lyase;Carbohydrate binding module family 6	GO:0000272;GO:0004553;GO:0030246							CBM35;PL1
NODE_107_length_19728_cov_1448.47_6410_8113_+	PF00404;PF01095	Dockerin type I domain;Pectinesterase			IPR002105;IPR000070	Dockerin type I repeat;Pectinesterase, catalytic	GO:0000272;GO:0042545;GO:0004553;GO:0030599	ko00040	3.1.1.11					CE8
NODE_107_length_19728_cov_1448.47_8166_9008_-	PF00188;PF08239	Cysteine-rich secretory protein family;Bacterial SH3 domain			IPR014044;IPR003646;IPR014258	CAP domain;SH3-like domain, bacterial-type;CAP domain, YkwD-like				TIGR02909	spore_YkwD: uncharacterized protein, YkwD family			
NODE_107_length_19728_cov_1448.47_9231_10949_-	PF00587;PF03129;PF04073	tRNA synthetase class II core domain (G, H, P, S and T);Anticodon binding domain;Aminoacyl-tRNA editing domain			IPR023717;IPR007214;IPR004500;IPR002314;IPR004154	Prolyl-tRNA synthetase, class IIa, type 1;YbaK/aminoacyl-tRNA synthetase-associated domain;Prolyl-tRNA synthetase, class IIa, bacterial-type;Aminoacyl-tRNA synthetase, class II (G/ P/ S/T);Anticodon-binding	GO:0006433;GO:0005737;GO:0006418;GO:0000166;GO:0004812;GO:0002161;GO:0004827;GO:0005524	ko00970	6.1.1.15	TIGR00409	proS_fam_II: proline--tRNA ligase	MF_01569	Proline--tRNA ligase [proS].	
NODE_1080_length_811_cov_0.753406_1_811_+	PF00749	tRNA synthetases class I (E and Q), catalytic domain			IPR020058;IPR004526	Glutamyl/glutaminyl-tRNA synthetase, class Ib, catalytic domain;Glutamyl-tRNA synthetase, archaeal/eukaryotic cytosolic	GO:0004812;GO:0005737;GO:0006424;GO:0000166;GO:0004818;GO:0005524;GO:0043039	ko00860;ko00970	6.1.1.17	TIGR00463	gltX_arch: glutamate--tRNA ligase			
NODE_1081_length_808_cov_2.76197_1_808_-	PF07355	Glycine/sarcosine/betaine reductase selenoprotein B (GRDB)			IPR010187	Selenoprotein B, glycine/betaine/sarcosine/D-proline reductase family	GO:0050485;GO:0055114			TIGR01918	various_sel_PB: selenoprotein B, glycine/betaine/sarcosine/D-proline reductase family			
NODE_1082_length_808_cov_1.42271_1_808_-	PF00731	AIR carboxylase			IPR033747;IPR000031	Class I PurE;PurE domain	GO:0006189			TIGR01162	purE: phosphoribosylaminoimidazole carboxylase, catalytic subunit	MF_01929	N5-carboxyaminoimidazole ribonucleotide mutase [purE].	
NODE_1084_length_805_cov_1.46154_1_805_-	PF00710;PF01558;PF18195	Asparaginase, N-terminal;Pyruvate ferredoxin/flavodoxin oxidoreductase;GatD N-terminal domain			IPR027474;IPR019752;IPR040918	L-asparaginase, N-terminal;Pyruvate/ketoisovalerate oxidoreductase, catalytic domain;GatD, N-terminal	GO:0016903;GO:0055114							
NODE_1085_length_804_cov_50.3714_1_617_+	PF00149	Calcineurin-like phosphoesterase			IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	GO:0016787							
NODE_1086_length_802_cov_0.835862_87_751_+	PF05717	IS66 Orf2 like protein			IPR008878	Transposase IS66, Orf2								
NODE_1087_length_801_cov_1.90884_1_801_+	PF01424;PF02223	R3H domain;Thymidylate kinase			IPR001374;IPR039430;IPR018094	R3H domain;Thymidylate kinase-like domain;Thymidylate kinase	GO:0003676;GO:0006233;GO:0004798;GO:0005524	ko00240	2.7.4.9	TIGR00041	DTMP_kinase: dTMP kinase			
NODE_1089_length_799_cov_4569.25_1_799_+	PF08706;PF08708	D5 N terminal like;Primase C terminal 1 (PriCT-1)			IPR014818;IPR014820	Bacteriophage/plasmid primase, P4, C-terminal;Primase, C-terminal 1								
NODE_108_length_18427_cov_263.854_10622_11581_+	PF02779;PF02780	Transketolase, pyrimidine binding domain;Transketolase, C-terminal domain			IPR005475;IPR033248	Transketolase-like, pyrimidine-binding domain;Transketolase, C-terminal domain								
NODE_108_length_18427_cov_263.854_11744_12745_+	PF01513	ATP-NAD kinase			IPR002504	NAD kinase	GO:0003951;GO:0006741	ko00760	2.7.1.23					
NODE_108_length_18427_cov_263.854_12761_13978_+	PF00198;PF00364;PF02817	2-oxoacid dehydrogenases acyltransferase (catalytic domain);Biotin-requiring enzyme;e3 binding domain			IPR001078;IPR000089;IPR004167	2-oxoacid dehydrogenase acyltransferase, catalytic domain;Biotin/lipoyl attachment;Peripheral subunit-binding domain	GO:0016746							
NODE_108_length_18427_cov_263.854_14068_14718_+	PF03099	Biotin/lipoate A/B protein ligase family			IPR000544;IPR004143	Octanoyltransferase;Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL), catalytic domain	GO:0009249;GO:0033819;GO:0006464	ko00785	2.3.1.181	TIGR00214	lipB: lipoyl(octanoyl) transferase	MF_00013	Octanoyltransferase [lipB].	
NODE_108_length_18427_cov_263.854_14739_16223_+	PF00977;PF04476	Histidine biosynthesis protein;4-HFC-P synthase			IPR006062;IPR007565	Histidine biosynthesis;(5-formylfuran-3-yl)methyl phosphate synthase	GO:0000105	ko00680	4.2.3.153					
NODE_108_length_18427_cov_263.854_16234_18427_-	PF00696;PF01968;PF02655	Amino acid kinase family;Hydantoinase/oxoprolinase;ATP-grasp domain			IPR001048;IPR002756;IPR002821;IPR003806	Aspartate/glutamate/uridylate kinase;4-[[4-(2-aminoethyl)phenoxy]-methyl]-2-furanmethanamine-glutamate synthase;Hydantoinase A/oxoprolinase;ATP-grasp fold, PylC-type	GO:0016787;GO:0005524;GO:0046872	ko00680	2.5.1.131	TIGR03123	one_C_unchar_1: probable H4MPT-linked C1 transfer pathway protein			
